Sample, dh6, dh5, dh4, dh3, dh2, dh1, dh0
Res1,106,122,173,154,128,252,60
Res2,94,104,159,133,103,104,51
Res3,107,176,139,157,150,132,187
Res4,65,150,150,138,138,117,74
Res5,100,165,201,150,155,79,110
Res6,94,137,165,150,153,120,144
Res7,110,163,124,130,121,162,120
Res8,95,177,170,186,152,156,148
Res9,123,154,230,130,281,96,88
Res10,78,136,204,72,126,143,185
Res11,76,196,225,218,140,204,174
Res12,89,147,145,94,62,129,119
Res13,94,165,289,286,279,177,284
Res14,101,121,270,101,66,102,189
Res15,79,134,166,147,90,121,97
Res16,77,139,147,126,62,100,202
Res17,98,217,249,70,136,124,86
Res18,86,198,240,128,191,151,183
Res19,82,138,125,149,139,171,136
Res20,96,181,180,133,238,84,110
Res21,61,190,329,357,239,187,367
Res22,86,176,255,127,78,168,172
Res23,104,160,151,164,122,132,114
Res24,93,125,175,160,127,97,90
Res25,97,165,314,293,103,108,215
Res26,88,181,209,135,144,254,135
Res27,97,227,248,139,177,140,89
Res28,110,155,139,112,119,123,142
Res29,95,165,187,139,157,210,120
Res30,100,148,158,161,170,232,116
